"SpatialCoords.Pos_X","SpatialCoords.Pos_Y","PatientID","ClusterCellType"
3411.59793814433,417.780927835052,"patient1","MPs"
3132.02173913043,422.627329192547,"patient1","Tumor"
3015.80846325167,424.790645879733,"patient1","Tcyt"
3485.19190140845,427.360915492958,"patient1","Tumor-APCs"
3349.1625,440.89375,"patient1","MPs"
3548.74100719424,436.257793764988,"patient1","Tumor-APCs"
3199.09836065574,444.76112412178,"patient1","Tumor-APCs"
3524.91304347826,448.32,"patient1","Tumor-APCs"
3668.98611111111,448.125,"patient1","MPs"
3654,448,"patient1","MPs"
3633.22727272727,452.534090909091,"patient1","MPs"
2939.68886861314,449.321167883212,"patient1","Tumor-APCs"
2876.05844155844,457.948051948052,"patient1","MPs"
3124.60022650057,458.284258210646,"patient1","Thelp"
3289.44422310757,459.703187250996,"patient1","Treg"
3011.04672057502,464.29739442947,"patient1","Tumor-APCs"
3489.21739130435,467.913043478261,"patient1","Tcyt"
3178.50666666667,469.831794871795,"patient1","Tumor-APCs"
2846.46996466431,471.187279151943,"patient1","Endothelial"
3078.07553956835,472.124100719424,"patient1","Tumor"
3281.22580645161,472.774193548387,"patient1","MPs"
3850.15384615385,475.615384615385,"patient1","MPs"
3049.76458752515,479.334004024145,"patient1","Tumor-APCs"
3734.52594339623,481.528301886792,"patient1","Tumor-APCs"
2611.07042253521,482.774647887324,"patient1","Tcyt"
3204.29126213592,484.480582524272,"patient1","TILs"
3513.61740041929,485.169811320755,"patient1","Tcyt"
2911.96844660194,474.084951456311,"patient1","Tumor-APCs"
3545.58404558405,488.027065527066,"patient1","TILs"
3351.30649717514,490.338983050847,"patient1","MPs"
3817.52115812918,490.977728285078,"patient1","B cells"
2634.61897356143,491.864696734059,"patient1","Treg"
2850.86408977556,494.733167082294,"patient1","Tcyt"
3636.29966329966,492.026936026936,"patient1","Treg"
2943.11502782931,496.397031539889,"patient1","Tumor-APCs"
3138.91002570694,495.583547557841,"patient1","Tumor-APCs"
3218.1175,494.79,"patient1","Tumor-APCs"
2887.1325203252,493.243089430894,"patient1","Tumor"
2720.59554140127,497.860668789809,"patient1","Plasma"
3971.78538812785,497.981735159817,"patient1","MPs"
3460.37735849057,498.622641509434,"patient1","Treg"
3732.24489795918,499.836734693878,"patient1","MPs"
3281.60210526316,504.652631578947,"patient1","Tcyt"
3406.97368421053,506.184210526316,"patient1","Treg"
3200.32822757112,506.142231947484,"patient1","Tumor-APCs"
3714.73333333333,506.6,"patient1","Plasma"
2864.02877697842,505.719424460432,"patient1","Tcyt"
3351.5459057072,509.982630272953,"patient1","Thelp"
3487.42668621701,510.370967741935,"patient1","Tcyt"
3535.76056338028,509.669014084507,"patient1","Tumor-APCs"
3377.20041753653,511.246346555324,"patient1","Tcyt"
3414.10769230769,512.046153846154,"patient1","Treg"
3179.58909574468,514.106382978723,"patient1","Tumor"
3306.93893129771,514.465648854962,"patient1","Endothelial"
2932.38102643857,516.936236391913,"patient1","Tumor-APCs"
2915.47314578005,515.626598465473,"patient1","Tumor-APCs"
2541.8362369338,517.703832752613,"patient1","Tumor-APCs"
2805.64304461942,517.346456692913,"patient1","Treg"
3718.91984732824,523.30534351145,"patient1","Treg"
3761.89291101056,523.755656108597,"patient1","MPs"
2575.41234010534,528.437923250564,"patient1","Tumor-APCs"
2607.76909090909,527.932727272727,"patient1","Tcyt"
3927.34782608696,527.086956521739,"patient1","Treg"
2507.01282051282,530.267399267399,"patient1","TILs"
3139.77192982456,526.333333333333,"patient1","Tumor-APCs"
3217.18352941176,541.412352941176,"patient1","Tumor-APCs"
3277.61262553802,531.083213773314,"patient1","MPs"
2822.48373557188,532.94018887723,"patient1","Tumor"
3526.42261103634,535.016150740242,"patient1","TILs"
2730.13448275862,534.868965517241,"patient1","B cells"
